density of truss 2        weight
  0.10000000000000001        26.407496822103852     
  0.10400000000000001        26.569531422537459     
  0.10800000000000001        26.704588885077460     
  0.11200000000000000        26.839646347617457     
  0.11600000000000001        26.974703810157457     
  0.12000000000000001        27.109761272697458     
  0.12400000000000000        27.228932488927189     
  0.12800000000000000        27.337072320051515     
  0.13200000000000001        27.441489757591832     
  0.13600000000000001        27.531790223933616     
  0.14000000000000001        27.622090690275403     
  0.14400000000000002        27.712391156617187     
  0.14800000000000002        27.796796618700387     
  0.15200000000000002        27.864944821874744     
  0.15600000000000000        27.933093025049097     
  0.16000000000000000        27.995591011024207     
  0.16400000000000001        28.048590132471276     
  0.16800000000000001        28.095593542327613     
  0.17200000000000001        28.137979553334027     
  0.17599999999999999        28.180365564340441     
  0.17999999999999999        28.209715974261933     
  0.18400000000000000        28.246537533303300     
  0.18800000000000000        28.283359092344668     
  0.19200000000000000        28.297405785016952     
  0.19600000000000001        28.328202770703030     
  0.20000000000000001        28.358999756389110     
  0.20400000000000001        28.343624464735854     
  0.20800000000000002        28.365043659461264     
  0.21200000000000002        28.354176750957873     
  0.21600000000000003        28.371252492415707     
  0.22000000000000000        28.388196333672649     
  0.22400000000000000        28.392576736629785     
  0.22800000000000001        28.408560549421743     
  0.23200000000000001        28.424544362213702     
  0.23600000000000002        28.440528175005660     
  0.24000000000000002        28.456511987797619     
  0.24400000000000002        28.472495800589577     
  0.24800000000000000        28.488479613381536     
  0.25200000000000000        28.504463426173491     
  0.25600000000000001        28.507212640557096     
  0.26000000000000001        28.522344975661859     
  0.26400000000000001        28.537477310766626     
  0.26800000000000002        28.552609645871389     
  0.27200000000000002        28.567741980976152     
  0.27600000000000002        28.582874316080918     
  0.28000000000000003        28.598006651185681     
  0.28400000000000003        28.613138986290448     
  0.28800000000000003        28.567290021566571     
  0.29200000000000004        28.580042879847273     
  0.29600000000000004        28.592795738127975     
  0.30000000000000004        28.605548596408678     
