alloStress of truss 2     weight
   1000.0000000000000        28.275737264389925     
   1040.0000000000000        27.924433318434449     
   1080.0000000000000        27.619070024569417     
   1120.0000000000000        27.349918492486125     
   1160.0000000000000        27.146492281290154     
   1200.0000000000000        26.934855355913420     
   1240.0000000000000        26.771223454355692     
   1280.0000000000000        26.640319069394049     
   1320.0000000000000        26.544281133129886     
   1360.0000000000000        26.475539019783454     
   1400.0000000000000        26.421620096303585     
   1440.0000000000000        26.393761864300011     
   1480.0000000000000        26.380359737853126     
   1520.0000000000000        26.389831194305497     
   1560.0000000000000        26.386845931371198     
   1600.0000000000000        26.382111106704805     
   1640.0000000000000        26.392625747125077     
   1680.0000000000000        26.388931553911991     
   1720.0000000000000        26.383884877917712     
   1760.0000000000000        26.386347299512202     
   1800.0000000000000        26.384436730397873     
   1840.0000000000000        26.389789482282023     
   1880.0000000000000        26.400251131776212     
   1920.0000000000000        26.406969160579763     
   1960.0000000000000        26.415181716830574     
   2000.0000000000000        26.407496889618049     
   2040.0000000000000        26.402858111670596     
   2080.0000000000000        26.389100053714024     
   2120.0000000000000        26.390077004410408     
   2160.0000000000000        26.393609972823466     
   2200.0000000000000        26.387678549913140     
   2240.0000000000000        26.384101497077570     
   2280.0000000000000        26.382754900102313     
   2320.0000000000000        26.383523390580784     
   2360.0000000000000        26.386299421693320     
   2400.0000000000000        26.390982616408198     
   2440.0000000000000        26.385783353839454     
   2480.0000000000000        26.394032918639706     
   2520.0000000000000        26.392283124484401     
   2560.0000000000000        26.403766538763136     
   2600.0000000000000        26.405151117766728     
   2640.0000000000000        26.408008662537462     
   2680.0000000000000        26.412273219384257     
   2720.0000000000000        26.417882714244968     
   2760.0000000000000        26.424778671553742     
   2800.0000000000000        26.432905957205673     
   2840.0000000000000        26.430755778709134     
   2880.0000000000000        26.441212781429872     
   2920.0000000000000        26.441336135268319     
   2960.0000000000000        26.453934718332469     
   3000.0000000000000        26.456151481279001     
