iteration  area_1  area_2  ratio_1  ratio_2  total_weight
        0   1.0000000   1.0000000   0.7070000   0.4141500  49.8842712
        1   0.7070000   0.4141500   1.0940000   0.7735000  28.9426197
        2   0.7734580   0.3203450   1.0540000   0.8150000  28.7961484
        3   0.8152247   0.2610812   1.0355000   0.8440000  28.6973912
        4   0.8441652   0.2203525   1.0250000   0.8650000  28.6362123
        5   0.8652693   0.1906049   1.0185000   0.8810000  28.5905793
        6   0.8812768   0.1679229   1.0140000   0.8935000  28.5534084
        7   0.8936147   0.1500392   1.0115000   0.9040000  28.5160862
        8   0.9038913   0.1356354   1.0095000   0.9125000  28.4956303
        9   0.9124782   0.1237673   1.0075000   0.9195000  28.4821555
       10   0.9193218   0.1138040   1.0065000   0.9255000  28.4605148
       11   0.9252974   0.1053256   1.0055000   0.9305000  28.4463966
       12   0.9303865   0.0980055   1.0050000   0.9355000  28.4322243
       13   0.9350385   0.0916841   1.0040000   0.9390000  28.4272595
       14   0.9387786   0.0860914   1.0040000   0.9430000  28.4122440
       15   0.9425338   0.0811842   1.0030000   0.9455000  28.4124590
       16   0.9453614   0.0767597   1.0030000   0.9485000  28.3968656
       17   0.9481974   0.0728065   1.0030000   0.9510000  28.3916947
       18   0.9510420   0.0692390   1.0020000   0.9530000  28.3950935
       19   0.9529441   0.0659848   1.0025000   0.9555000  28.3786011
       20   0.9553265   0.0630485   1.0020000   0.9575000  28.3825598
       21   0.9572371   0.0603689   1.0020000   0.9590000  28.3787227
       22   0.9591516   0.0578938   1.0015000   0.9605000  28.3794096
       23   0.9605903   0.0556070   1.0015000   0.9620000  28.3707079
       24   0.9620312   0.0534939   1.0015000   0.9635000  28.3658201
       25   0.9634743   0.0515414   1.0015000   0.9650000  28.3644611
       26   0.9649195   0.0497374   1.0010000   0.9660000  28.3663725
