density of truss 2        weight
  0.10000000000000001        27.789418300000001     
  0.10400000000000001        27.809313299999999     
  0.10800000000000001        27.829208300000001     
  0.11200000000000000        27.849103199999998     
  0.11600000000000001        27.868998200000000     
  0.12000000000000001        27.888893199999998     
  0.12400000000000000        27.908788099999999     
  0.12800000000000000        27.928683100000001     
  0.13200000000000001        27.948578099999999     
  0.13600000000000001        27.968473100000001     
  0.14000000000000001        27.988368000000001     
  0.14400000000000002        28.008262999999999     
  0.14800000000000002        28.028158000000001     
  0.15200000000000002        28.048052999999999     
  0.15600000000000000        28.067947900000000     
  0.16000000000000000        28.087842899999998     
  0.16400000000000001        28.107737900000000     
  0.16800000000000001        28.127632800000001     
  0.17200000000000001        28.147527799999999     
  0.17599999999999999        28.167422800000001     
  0.17999999999999999        28.187317799999999     
  0.18400000000000000        28.207212699999999     
  0.18800000000000000        28.227107700000001     
  0.19200000000000000        28.247002699999999     
  0.19600000000000001        28.266897700000001     
  0.20000000000000001        28.286792599999998     
  0.20400000000000001        28.306687600000000     
  0.20800000000000002        28.326582599999998     
  0.21200000000000002        28.346477600000000     
  0.21600000000000003        28.366372500000001     
  0.22000000000000000        28.386267499999999     
  0.22400000000000000        28.406162500000001     
  0.22800000000000001        28.426057400000001     
  0.23200000000000001        28.445952399999999     
  0.23600000000000002        28.465847400000001     
  0.24000000000000002        28.485742399999999     
  0.24400000000000002        28.505637300000000     
  0.24800000000000000        28.525532299999998     
  0.25200000000000000        28.545427300000000     
  0.25600000000000001        28.565322299999998     
  0.26000000000000001        28.585217199999999     
  0.26400000000000001        28.605112200000001     
  0.26800000000000002        28.625007199999999     
  0.27200000000000002        28.644902200000001     
  0.27600000000000002        28.664797100000001     
  0.28000000000000003        28.684692099999999     
  0.28400000000000003        28.704587100000001     
  0.28800000000000003        28.724481999999998     
  0.29200000000000004        28.744377000000000     
  0.29600000000000004        28.764271999999998     
  0.30000000000000004        28.784167000000000     
