iteration  area_1  area_2  ratio_1  ratio_2  total_weight
        0   1.0000000   1.0000000   0.7070000   0.3834722  38.2842713
        1   0.7070000   0.3834722   1.1075000   0.7412037  23.8317020
        2   0.7830025   0.2842310   1.0605000   0.7814815  24.9889654
        3   0.8303742   0.2221213   1.0390000   0.8087963  25.7077406
        4   0.8627587   0.1796509   1.0270000   0.8291667  26.1990110
        5   0.8860532   0.1489605   1.0200000   0.8439815  26.5509750
        6   0.9037743   0.1257199   1.0155000   0.8560185  26.8197964
        7   0.9177828   0.1076186   1.0120000   0.8652778  27.0350033
        8   0.9287962   0.0931200   1.0095000   0.8731481  27.2015229
        9   0.9376198   0.0813075   1.0080000   0.8796296  27.3329666
       10   0.9451207   0.0715205   1.0070000   0.8847222  27.4472556
       11   0.9517366   0.0632758   1.0055000   0.8893519  27.5519327
       12   0.9569711   0.0562744   1.0045000   0.8930556  27.6299746
       13   0.9612775   0.0502562   1.0045000   0.8967593  27.6915948
       14   0.9656032   0.0450677   1.0035000   0.8995370  27.7620606
       15   0.9689828   0.0405401   1.0030000   0.9018519  27.8123741
       16   0.9718898   0.0365611   1.0030000   0.9046296  27.8548057
       17   0.9748055   0.0330743   1.0020000   0.9060185  27.9024047
       18   0.9767551   0.0299659   1.0025000   0.9083333  27.9264644
       19   0.9791970   0.0272190   1.0020000   0.9097222  27.9680626
       20   0.9811553   0.0247618   1.0015000   0.9111111  27.9988816
       21   0.9826271   0.0225607   1.0015000   0.9125000  28.0184980
       22   0.9841010   0.0205867   1.0015000   0.9138889  28.0404467
       23   0.9855772   0.0188139   1.0010000   0.9148148  28.0644712
