iteration  area_1  area_2  ratio_1  ratio_2  total_weight
        0   1.0000000   1.0000000   0.7070000   0.6090441  38.2842713
        1   0.7070000   0.6090441   1.0260000   0.9375000  26.0874210
        2   0.7253820   0.5709789   1.0155000   0.9595588  26.2266899
        3   0.7366254   0.5478878   1.0095000   0.9727941  26.3137913
        4   0.7436234   0.5329820   1.0060000   0.9816176  26.3626652
        5   0.7480851   0.5231846   1.0040000   0.9882353  26.3908877
        6   0.7510774   0.5170295   1.0030000   0.9919118  26.4139727
        7   0.7533307   0.5128476   1.0015000   0.9941176  26.4358852
        8   0.7544607   0.5098308   1.0015000   0.9963235  26.4376788
        9   0.7555924   0.5079565   1.0010000   0.9977941  26.4509441
