iteration  area_1  area_2  ratio_1  ratio_2  total_weight
        0   1.0000000   1.0000000   0.7070000   0.4930357  38.2842713
        1   0.7070000   0.4930357   1.0630000   0.8476190  24.9273369
        2   0.7515410   0.4179065   1.0375000   0.8863095  25.4358541
        3   0.7797238   0.3703945   1.0245000   0.9130952  25.7578639
        4   0.7988270   0.3382054   1.0175000   0.9321429  25.9762945
        5   0.8128065   0.3152558   1.0125000   0.9458333  26.1421971
        6   0.8229666   0.2981794   1.0090000   0.9565476  26.2588041
        7   0.8303733   0.2852228   1.0075000   0.9648810  26.3387311
        8   0.8366011   0.2752061   1.0055000   0.9708333  26.4147123
        9   0.8412024   0.2671792   1.0045000   0.9761905  26.4645885
       10   0.8449878   0.2608178   1.0035000   0.9803571  26.5080419
       11   0.8479452   0.2556946   1.0030000   0.9839286  26.5404594
       12   0.8504891   0.2515852   1.0020000   0.9869048  26.5713162
       13   0.8521901   0.2482907   1.0020000   0.9892857  26.5864814
       14   0.8538944   0.2456304   1.0015000   0.9910714  26.6080860
       15   0.8551753   0.2434373   1.0015000   0.9922619  26.6223824
       16   0.8564580   0.2415535   1.0010000   0.9934524  26.6398270
