iteration  area_1  area_2  ratio_1  ratio_2  total_weight
        0   1.0000000   1.0000000   0.7070000   0.3570259  38.2842713
        1   0.7070000   0.3570259   1.1195000   0.7112069  23.5672384
        2   0.7914865   0.2539193   1.0660000   0.7491379  24.9258114
        3   0.8437246   0.1902205   1.0420000   0.7745690  25.7663411
        4   0.8791610   0.1473389   1.0285000   0.7926724  26.3398187
        5   0.9042171   0.1167915   1.0205000   0.8060345  26.7430377
        6   0.9227536   0.0941380   1.0150000   0.8163793  27.0407924
        7   0.9365949   0.0768523   1.0120000   0.8245690  27.2594268
        8   0.9478340   0.0633700   1.0095000   0.8310345  27.4424949
        9   0.9568384   0.0526627   1.0070000   0.8357759  27.5901049
       10   0.9635363   0.0440142   1.0060000   0.8400862  27.6930644
       11   0.9693175   0.0369757   1.0050000   0.8435345  27.7861972
       12   0.9741641   0.0311903   1.0040000   0.8465517  27.8654252
       13   0.9780608   0.0264042   1.0035000   0.8487069  27.9277783
       14   0.9814840   0.0224094   1.0030000   0.8508621  27.9846536
       15   0.9844284   0.0190673   1.0020000   0.8521552  28.0345144
       16   0.9863973   0.0162483   1.0020000   0.8538793  28.0620120
       17   0.9883701   0.0138741   1.0020000   0.8551724  28.0940689
       18   0.9903468   0.0118648   1.0010000   0.8560345  28.1298860
