iteration  area_1  area_2  ratio_1  ratio_2  total_weight
        0   1.0000000   1.0000000   0.7070000   0.3509746  38.2842713
        1   0.7070000   0.3509746   1.1225000   0.7042373  23.5067255
        2   0.7936075   0.2471694   1.0675000   0.7411017  24.9183036
        3   0.8471760   0.1831776   1.0420000   0.7661017  25.7935324
        4   0.8827574   0.1403327   1.0285000   0.7834746  26.3714767
        5   0.9079160   0.1099471   1.0205000   0.7966102  26.7792130
        6   0.9265283   0.0875850   1.0155000   0.8067797  27.0820265
        7   0.9408895   0.0706618   1.0115000   0.8139831  27.3189902
        8   0.9517097   0.0575175   1.0090000   0.8203390  27.4935896
        9   0.9602751   0.0471838   1.0075000   0.8250000  27.6325188
       10   0.9674771   0.0389267   1.0055000   0.8288136  27.7536522
       11   0.9727983   0.0322630   1.0050000   0.8322034  27.8375191
       12   0.9776622   0.0268493   1.0035000   0.8343220  27.9209574
       13   0.9810841   0.0224010   1.0030000   0.8364407  27.9732576
       14   0.9840273   0.0187371   1.0030000   0.8385593  28.0198664
       15   0.9869794   0.0157122   1.0020000   0.8394068  28.0731146
       16   0.9889534   0.0131889   1.0015000   0.8411017  28.1037139
       17   0.9904368   0.0110932   1.0015000   0.8423729  28.1247147
       18   0.9919224   0.0093446   1.0015000   0.8427966  28.1492495
       19   0.9934103   0.0078756   1.0010000   0.8436441  28.1766431
