iteration  area_1  area_2  ratio_1  ratio_2  total_weight
        0   1.0000000   1.0000000   0.7070000   0.6471094  38.2842713
        1   0.7070000   0.6471094   1.0155000   0.9632812  26.4680736
        2   0.7179585   0.6233483   1.0090000   0.9765625  26.5404163
        3   0.7244201   0.6087386   1.0055000   0.9851562  26.5770814
        4   0.7284044   0.5997026   1.0035000   0.9906250  26.5994151
        5   0.7309539   0.5940804   1.0020000   0.9945312  26.6153013
        6   0.7324158   0.5908315   1.0015000   0.9960938  26.6241616
        7   0.7335144   0.5885236   1.0010000   0.9976563  26.6321560
