iteration  area_1  area_2  ratio_1  ratio_2  total_weight
        0   1.0000000   1.0000000   0.7070000   0.5596622  38.2842713
        1   0.7070000   0.5596622   1.0405000   0.9013514  25.5936014
        2   0.7356335   0.5044522   1.0245000   0.9324324  25.8513799
        3   0.7536565   0.4703676   1.0155000   0.9520270  26.0203018
        4   0.7653382   0.4478027   1.0105000   0.9662162  26.1250602
        5   0.7733742   0.4326742   1.0075000   0.9756757  26.2010693
        6   0.7791746   0.4221497   1.0050000   0.9817568  26.2598817
        7   0.7830704   0.4144483   1.0035000   0.9864865  26.2930598
        8   0.7858112   0.4088477   1.0025000   0.9905405  26.3145733
        9   0.7877757   0.4049802   1.0020000   0.9932432  26.3314638
       10   0.7893513   0.4022439   1.0015000   0.9945946  26.3486636
       11   0.7905353   0.4000696   1.0010000   0.9959459  26.3604100
