iteration  area_1  area_2  ratio_1  ratio_2  total_weight
        0   1.0000000   1.0000000   0.7070000   0.4060294  38.2842713
        1   0.7070000   0.4060294   1.0975000   0.7651961  24.0572739
        2   0.7759325   0.3106921   1.0555000   0.8063725  25.0536064
        3   0.8189968   0.2505336   1.0365000   0.8352941  25.6700622
        4   0.8488901   0.2092692   1.0255000   0.8563725  26.1029312
        5   0.8705368   0.1792124   1.0190000   0.8720588  26.4146242
        6   0.8870770   0.1562838   1.0145000   0.8848039  26.6531652
        7   0.8999397   0.1382805   1.0120000   0.8946078  26.8369422
        8   0.9107389   0.1237068   1.0095000   0.9029412  26.9966550
        9   0.9193909   0.1117000   1.0080000   0.9098039  27.1213027
       10   0.9267461   0.1016251   1.0065000   0.9156863  27.2285881
       11   0.9327699   0.0930567   1.0055000   0.9210784  27.3132844
       12   0.9379002   0.0857125   1.0050000   0.9254902  27.3849475
       13   0.9425897   0.0793261   1.0045000   0.9294118  27.4537224
       14   0.9468313   0.0737266   1.0035000   0.9323529  27.5176996
       15   0.9501452   0.0687392   1.0035000   0.9357843  27.5615573
       16   0.9534707   0.0643251   1.0030000   0.9387255  27.6114755
       17   0.9563311   0.0603836   1.0025000   0.9411765  27.6529653
       18   0.9587220   0.0568316   1.0025000   0.9431373  27.6850683
       19   0.9611188   0.0536000   1.0025000   0.9450980  27.7205442
       20   0.9635216   0.0506573   1.0020000   0.9470588  27.7590781
       21   0.9654486   0.0479754   1.0015000   0.9485294  27.7867646
       22   0.9668968   0.0455061   1.0020000   0.9504902  27.8030319
       23   0.9688306   0.0432531   1.0015000   0.9514706  27.8351978
       24   0.9702838   0.0411540   1.0015000   0.9529412  27.8553113
       25   0.9717393   0.0392174   1.0010000   0.9544118  27.8771104
