iteration  area_1  area_2  ratio_1  ratio_2  total_weight
        0   1.0000000   1.0000000   0.7070000   0.3632895  38.2842713
        1   0.7070000   0.3632895   1.1165000   0.7184211  23.6298745
        2   0.7893655   0.2609948   1.0650000   0.7570175  24.9365760
        3   0.8406743   0.1975776   1.0410000   0.7828947  25.7536352
        4   0.8751419   0.1546825   1.0285000   0.8017544  26.2995759
        5   0.9000834   0.1240174   1.0205000   0.8153509  26.6983780
        6   0.9185352   0.1011177   1.0150000   0.8263158  26.9912742
        7   0.9323132   0.0835551   1.0120000   0.8350877  27.2053502
        8   0.9435009   0.0697759   1.0095000   0.8416667  27.3839952
        9   0.9524642   0.0587280   1.0075000   0.8469298  27.5270360
       10   0.9596077   0.0497385   1.0065000   0.8517544  27.6391890
       11   0.9658451   0.0423650   1.0050000   0.8548246  27.7418756
       12   0.9706744   0.0362146   1.0040000   0.8583333  27.8169632
       13   0.9745571   0.0310842   1.0040000   0.8609649  27.8754784
       14   0.9784553   0.0267624   1.0030000   0.8631579  27.9425189
       15   0.9813907   0.0231002   1.0025000   0.8649123  27.9889213
       16   0.9838441   0.0199797   1.0020000   0.8666667  28.0271106
       17   0.9858118   0.0173157   1.0020000   0.8679825  28.0561257
       18   0.9877834   0.0150297   1.0015000   0.8692982  28.0890319
       19   0.9892651   0.0130653   1.0015000   0.8701754  28.1112959
       20   0.9907490   0.0113691   1.0010000   0.8710526  28.1363048
