iteration  area_1  area_2  ratio_1  ratio_2  total_weight
        0   1.0000000   1.0000000   0.7070000   0.5050610  38.2842713
        1   0.7070000   0.5050610   1.0590000   0.8579268  25.0475896
        2   0.7487130   0.4333054   1.0350000   0.8957317  25.5098552
        3   0.7749180   0.3881254   1.0230000   0.9213415  25.7992432
        4   0.7927411   0.3575960   1.0155000   0.9390244  25.9980632
        5   0.8050286   0.3357913   1.0115000   0.9524390  26.1275595
        6   0.8142864   0.3198208   1.0085000   0.9628049  26.2297047
        7   0.8212078   0.3079250   1.0065000   0.9701220  26.3065147
        8   0.8265457   0.2987248   1.0050000   0.9762195  26.3654900
        9   0.8306784   0.2916210   1.0040000   0.9810976  26.4113430
       10   0.8340011   0.2861086   1.0030000   0.9841463  26.4502000
       11   0.8365031   0.2815728   1.0025000   0.9878049  26.4756087
       12   0.8385944   0.2781390   1.0020000   0.9896341  26.5004202
       13   0.8402716   0.2752558   1.0015000   0.9914634  26.5190268
       14   0.8415320   0.2729061   1.0015000   0.9932927  26.5311791
       15   0.8427943   0.2710756   1.0010000   0.9945122  26.5485776
