iteration  area_1  area_2  ratio_1  ratio_2  total_weight
        0   1.0000000   1.0000000   0.7070000   0.5916429  38.2842713
        1   0.7070000   0.5916429   1.0310000   0.9250000  25.9134084
        2   0.7289170   0.5472696   1.0185000   0.9507143  26.0895826
        3   0.7424020   0.5202971   1.0115000   0.9664286  26.2012692
        4   0.7509396   0.5028300   1.0075000   0.9771429  26.2680785
        5   0.7565716   0.4913367   1.0050000   0.9842857  26.3124443
        6   0.7603545   0.4836157   1.0035000   0.9892857  26.3422296
        7   0.7630157   0.4784341   1.0025000   0.9921429  26.3656849
        8   0.7649233   0.4746750   1.0015000   0.9942857  26.3820470
        9   0.7660707   0.4719625   1.0015000   0.9964286  26.3873757
       10   0.7672198   0.4702770   1.0005000   0.9971429  26.4030215
