iteration  area_1  area_2  ratio_1  ratio_2  total_weight
        0   1.0000000   1.0000000   0.7070000   0.3045221  38.2842713
        1   0.7070000   0.3045221   1.1465000   0.6463235  23.0422004
        2   0.8105755   0.1968198   1.0760000   0.6750000  24.8947350
        3   0.8721792   0.1328533   1.0450000   0.6933824  25.9974876
        4   0.9114273   0.0921182   1.0285000   0.7058824  26.7002387
        5   0.9374030   0.0650246   1.0190000   0.7143382  27.1640060
        6   0.9552136   0.0464495   1.0130000   0.7202206  27.4820171
        7   0.9676314   0.0334539   1.0090000   0.7242647  27.7032886
        8   0.9763401   0.0242295   1.0065000   0.7275735  27.8573631
        9   0.9826863   0.0176287   1.0050000   0.7297794  27.9708535
       10   0.9875997   0.0128651   1.0030000   0.7308824  28.0621898
       11   0.9905625   0.0094029   1.0025000   0.7323529  28.1113682
       12   0.9930389   0.0068862   1.0020000   0.7330882  28.1562450
       13   0.9950250   0.0050482   1.0015000   0.7334559  28.1940397
       14   0.9965176   0.0037026   1.0005000   0.7338235  28.2227993
