iteration  area_1  area_2  ratio_1  ratio_2  total_weight
        0   1.0000000   1.0000000   0.7070000   0.3286905  38.2842713
        1   0.7070000   0.3286905   1.1335000   0.6769841  23.2838845
        2   0.8013845   0.2225182   1.0720000   0.7111111  24.8917589
        3   0.8590842   0.1582352   1.0435000   0.7329365  25.8809219
        4   0.8964543   0.1159763   1.0290000   0.7484127  26.5153213
        5   0.9224515   0.0867982   1.0205000   0.7591270  26.9588507
        6   0.9413618   0.0658908   1.0145000   0.7670635  27.2846402
        7   0.9550115   0.0505425   1.0105000   0.7730159  27.5172295
        8   0.9650391   0.0390701   1.0080000   0.7777778  27.6861301
        9   0.9727595   0.0303879   1.0060000   0.7813492  27.8176710
       10   0.9785960   0.0237435   1.0050000   0.7841270  27.9163105
       11   0.9834890   0.0186179   1.0035000   0.7857143  28.0034489
       12   0.9869312   0.0146284   1.0025000   0.7876984  28.0609138
       13   0.9893985   0.0115228   1.0025000   0.7888889  28.0996440
       14   0.9918720   0.0090902   1.0015000   0.7896825  28.1452793
       15   0.9933598   0.0071784   1.0015000   0.7908730  28.1682426
       16   0.9948499   0.0056772   1.0010000   0.7912698  28.1953754
