iteration  area_1  area_2  ratio_1  ratio_2  total_weight
        0   1.0000000   1.0000000   0.7070000   0.3001087  38.2842713
        1   0.7070000   0.3001087   1.1490000   0.6402174  22.9980667
        2   0.8123430   0.1921348   1.0765000   0.6684783  24.8978778
        3   0.8744872   0.1284379   1.0450000   0.6858696  26.0186137
        4   0.9138392   0.0880917   1.0285000   0.6978261  26.7281915
        5   0.9398836   0.0614727   1.0190000   0.7054348  27.1986488
        6   0.9577414   0.0433650   1.0125000   0.7108696  27.5226662
        7   0.9697131   0.0308268   1.0090000   0.7148551  27.7358976
        8   0.9784406   0.0220367   1.0060000   0.7177536  27.8948451
        9   0.9843112   0.0158169   1.0045000   0.7195652  27.9986942
       10   0.9887406   0.0113813   1.0030000   0.7210145  28.0796204
       11   0.9917068   0.0082061   1.0025000   0.7221014  28.1317656
       12   0.9941861   0.0059256   1.0015000   0.7228261  28.1790852
       13   0.9956774   0.0042832   1.0010000   0.7231884  28.2048407
