iteration  area_1  area_2  ratio_1  ratio_2  total_weight
        0   1.0000000   1.0000000   0.7070000   0.5309615  38.2842713
        1   0.7070000   0.5309615   1.0500000   0.8794872  25.3065952
        2   0.7423500   0.4669739   1.0300000   0.9141026  25.6665674
        3   0.7646205   0.4268620   1.0190000   0.9365385  25.8953537
        4   0.7791483   0.3997727   1.0135000   0.9532051  26.0353685
        5   0.7896668   0.3810654   1.0095000   0.9647436  26.1458035
        6   0.7971686   0.3676304   1.0065000   0.9730769  26.2236374
        7   0.8023502   0.3577326   1.0050000   0.9801282  26.2712177
        8   0.8063620   0.3506238   1.0040000   0.9846154  26.3135993
        9   0.8095874   0.3452296   1.0025000   0.9878205  26.3508866
       10   0.8116114   0.3410249   1.0025000   0.9903846  26.3660858
       11   0.8136404   0.3377458   1.0015000   0.9929487  26.3906846
       12   0.8148609   0.3353643   1.0015000   0.9942308  26.4013890
       13   0.8160832   0.3334295   1.0010000   0.9955128  26.4166127
