iteration  area_1  area_2  ratio_1  ratio_2  total_weight
        0   1.0000000   1.0000000   0.7070000   0.2798311  38.2842713
        1   0.7070000   0.2798311   1.1605000   0.6125000  22.7952906
        2   0.8204735   0.1713965   1.0795000   0.6354730  24.9204604
        3   0.8857011   0.1089179   1.0455000   0.6496622  26.1405900
        4   0.9260005   0.0707598   1.0270000   0.6584459  26.8988487
        5   0.9510026   0.0465915   1.0175000   0.6641892  27.3643295
        6   0.9676451   0.0309456   1.0110000   0.6679054  27.6785924
        7   0.9782892   0.0206687   1.0070000   0.6706081  27.8768843
        8   0.9851372   0.0138606   1.0050000   0.6722973  28.0024946
        9   0.9900629   0.0093185   1.0035000   0.6733108  28.0963924
       10   0.9935281   0.0062742   1.0020000   0.6739865  28.1639612
       11   0.9955152   0.0042287   1.0015000   0.6746622  28.1997089
       12   0.9970085   0.0028530   1.0010000   0.6750000  28.2281874
