iteration  area_1  area_2  ratio_1  ratio_2  total_weight
        0   1.0000000   1.0000000   0.7070000   0.2876042  38.2842713
        1   0.7070000   0.2876042   1.1560000   0.6232639  22.8730214
        2   0.8172920   0.1792533   1.0785000   0.6482639  24.9090415
        3   0.8814494   0.1162034   1.0450000   0.6638889  26.0931889
        4   0.9211146   0.0771462   1.0280000   0.6739583  26.8245181
        5   0.9469059   0.0519933   1.0180000   0.6805556  27.3024751
        6   0.9639502   0.0353843   1.0115000   0.6847222  27.6184711
        7   0.9750356   0.0242284   1.0080000   0.6878472  27.8204554
        8   0.9828359   0.0166655   1.0055000   0.6899306  27.9654510
        9   0.9882415   0.0114980   1.0035000   0.6913194  28.0666699
       10   0.9917003   0.0079488   1.0025000   0.6923611  28.1290087
       11   0.9941796   0.0055034   1.0020000   0.6930556  28.1746789
       12   0.9961679   0.0038142   1.0010000   0.6934028  28.2140256
