iteration  area_1  area_2  ratio_1  ratio_2  total_weight
        0   1.0000000   1.0000000   0.7070000   0.3982212  38.2842713
        1   0.7070000   0.3982212   1.1005000   0.7567308  23.9791913
        2   0.7780535   0.3013462   1.0575000   0.7985577  25.0201382
        3   0.8227916   0.2406423   1.0375000   0.8264423  25.6784834
        4   0.8536463   0.1988770   1.0260000   0.8471154  26.1335323
        5   0.8758411   0.1684718   1.0195000   0.8629808  26.4572438
        6   0.8929200   0.1453879   1.0150000   0.8750000  26.7094694
        7   0.9063138   0.1272144   1.0120000   0.8850962  26.9065684
        8   0.9171895   0.1125970   1.0095000   0.8932692  27.0680072
        9   0.9259028   0.1005794   1.0080000   0.9000000  27.1942809
       10   0.9333101   0.0905215   1.0065000   0.9057692  27.3032094
       11   0.9393766   0.0819916   1.0060000   0.9110577  27.3894973
       12   0.9450128   0.0746991   1.0050000   0.9149038  27.4759896
       13   0.9497379   0.0683424   1.0040000   0.9187500  27.5460685
       14   0.9535368   0.0627896   1.0040000   0.9221154  27.5979909
       15   0.9573510   0.0578993   1.0030000   0.9250000  27.6569678
       16   0.9602230   0.0535568   1.0030000   0.9278846  27.6947773
       17   0.9631037   0.0496946   1.0030000   0.9302885  27.7376322
       18   0.9659930   0.0462303   1.0020000   0.9322115  27.7847114
       19   0.9679250   0.0430964   1.0025000   0.9346154  27.8080174
       20   0.9703448   0.0402786   1.0020000   0.9360577  27.8482816
       21   0.9722855   0.0377031   1.0015000   0.9375000  27.8774176
       22   0.9737439   0.0353466   1.0015000   0.9389423  27.8951038
       23   0.9752046   0.0331884   1.0015000   0.9403846  27.9148344
       24   0.9766674   0.0312099   1.0015000   0.9418269  27.9364234
       25   0.9781324   0.0293943   1.0015000   0.9427885  27.9597041
       26   0.9795996   0.0277126   1.0010000   0.9437500  27.9843858
