iteration  area_1  area_2  ratio_1  ratio_2  total_weight
        0   1.0000000   1.0000000   0.7070000   0.3235547  38.2842713
        1   0.7070000   0.3235547   1.1365000   0.6707031  23.2325267
        2   0.8035055   0.2170091   1.0725000   0.7035156  24.8966589
        3   0.8617596   0.1526693   1.0440000   0.7250000  25.9009368
        4   0.8996771   0.1106853   1.0290000   0.7394531  26.5535629
        5   0.9257677   0.0818466   1.0200000   0.7500000  27.0031305
        6   0.9442831   0.0613849   1.0145000   0.7574219  27.3222074
        7   0.9579752   0.0464943   1.0100000   0.7628906  27.5605722
        8   0.9675549   0.0354701   1.0080000   0.7675781  27.7212862
        9   0.9752954   0.0272260   1.0055000   0.7703125  27.8577787
       10   0.9806595   0.0209726   1.0045000   0.7730469  27.9469643
       11   0.9850725   0.0162128   1.0035000   0.7750000  28.0241840
       12   0.9885202   0.0125649   1.0025000   0.7761719  28.0852225
       13   0.9909915   0.0097525   1.0020000   0.7773438  28.1269976
       14   0.9929735   0.0075811   1.0015000   0.7781250  28.1613420
       15   0.9944629   0.0058990   1.0010000   0.7789063  28.1866498
