iteration  area_1  area_2  ratio_1  ratio_2  total_weight
        0   1.0000000   1.0000000   0.7070000   0.3137500  38.2842713
        1   0.7070000   0.3137500   1.1415000   0.6583333  23.1344798
        2   0.8070405   0.2065521   1.0745000   0.6890152  24.8920732
        3   0.8671650   0.1423175   1.0445000   0.7090909  25.9503057
        4   0.9057539   0.1009161   1.0290000   0.7223485  26.6277484
        5   0.9320207   0.0728966   1.0195000   0.7318182  27.0904925
        6   0.9501951   0.0533470   1.0135000   0.7386364  27.4090469
        7   0.9630228   0.0394041   1.0100000   0.7435606  27.6324375
        8   0.9726530   0.0292993   1.0070000   0.7469697  27.8037739
        9   0.9794616   0.0218857   1.0050000   0.7496212  27.9222133
       10   0.9843589   0.0164060   1.0040000   0.7518939  28.0059329
       11   0.9882963   0.0123356   1.0030000   0.7530303  28.0765962
       12   0.9912612   0.0092890   1.0020000   0.7541667  28.1299908
       13   0.9932437   0.0070055   1.0015000   0.7549242  28.1632295
       14   0.9947336   0.0052886   1.0015000   0.7556818  28.1882005
       15   0.9962257   0.0039965   1.0010000   0.7560606  28.2174824
