iteration  area_1  area_2  ratio_1  ratio_2  total_weight
        0   1.0000000   1.0000000   0.7070000   0.5449342  38.2842713
        1   0.7070000   0.5449342   1.0455000   0.8901316  25.4463219
        2   0.7391685   0.4850631   1.0270000   0.9230263  25.7574739
        3   0.7591260   0.4477261   1.0175000   0.9447368  25.9485876
        4   0.7724108   0.4229833   1.0120000   0.9598684  26.0769083
        5   0.7816797   0.4060083   1.0085000   0.9703947  26.1693233
        6   0.7883240   0.3939883   1.0055000   0.9776316  26.2370520
        7   0.7926597   0.3851754   1.0045000   0.9835526  26.2715575
        8   0.7962267   0.3788403   1.0030000   0.9875000  26.3090954
        9   0.7986154   0.3741048   1.0025000   0.9907895  26.3293024
       10   0.8006119   0.3706591   1.0020000   0.9927632  26.3513160
       11   0.8022132   0.3679767   1.0010000   0.9947368  26.3697815
