iteration  area_1  area_2  ratio_1  ratio_2  total_weight
        0   1.0000000   1.0000000   0.7070000   0.3907075  38.2842713
        1   0.7070000   0.3907075   1.1040000   0.7490566  23.9040553
        2   0.7805280   0.2926621   1.0590000   0.7896226  25.0032863
        3   0.8265792   0.2310926   1.0380000   0.8179245  25.6901149
        4   0.8579892   0.1890163   1.0270000   0.8382075  26.1577611
        5   0.8811549   0.1584349   1.0195000   0.8533019  26.5071722
        6   0.8983374   0.1351928   1.0155000   0.8655660  26.7607462
        7   0.9122616   0.1170183   1.0120000   0.8750000  26.9728379
        8   0.9232088   0.1023910   1.0095000   0.8830189  27.1361969
        9   0.9319792   0.0904132   1.0080000   0.8900943  27.2644854
       10   0.9394351   0.0804763   1.0070000   0.8957547  27.3759990
       11   0.9460111   0.0720870   1.0055000   0.9000000  27.4781050
       12   0.9512142   0.0648783   1.0050000   0.9042453  27.5531828
       13   0.9559703   0.0586659   1.0040000   0.9080189  27.6255807
       14   0.9597941   0.0532697   1.0040000   0.9113208  27.6797749
       15   0.9636333   0.0485458   1.0030000   0.9136792  27.7411240
       16   0.9665242   0.0443553   1.0030000   0.9165094  27.7809859
       17   0.9694238   0.0406521   1.0025000   0.9183962  27.8259657
       18   0.9718473   0.0373347   1.0025000   0.9207547  27.8613407
       19   0.9742770   0.0343761   1.0020000   0.9221698  27.9004747
       20   0.9762255   0.0317006   1.0015000   0.9235849  27.9288331
       21   0.9776899   0.0292782   1.0020000   0.9254717  27.9460268
       22   0.9796452   0.0270961   1.0015000   0.9264151  27.9795128
       23   0.9811147   0.0251023   1.0015000   0.9278302  28.0011369
       24   0.9825864   0.0232906   1.0010000   0.9287736  28.0246458
