iteration  area_1  area_2  ratio_1  ratio_2  total_weight
        0   1.0000000   1.0000000   0.7070000   0.3394672  38.2842713
        1   0.7070000   0.3394672   1.1280000   0.6905738  23.3916519
        2   0.7974960   0.2344272   1.0695000   0.7258197  24.9008647
        3   0.8529220   0.1701518   1.0435000   0.7495902  25.8257948
        4   0.8900241   0.1275441   1.0285000   0.7655738  26.4491238
        5   0.9153898   0.0976445   1.0205000   0.7778689  26.8675769
        6   0.9341553   0.0759546   1.0150000   0.7868852  27.1814463
        7   0.9481676   0.0597675   1.0115000   0.7934426  27.4159044
        8   0.9590715   0.0474221   1.0085000   0.7987705  27.6008598
        9   0.9672236   0.0378794   1.0065000   0.8028689  27.7360089
       10   0.9735106   0.0304122   1.0055000   0.8061475  27.8391588
       11   0.9788649   0.0245167   1.0040000   0.8086066  27.9316467
       12   0.9827803   0.0198244   1.0035000   0.8106557  27.9954693
       13   0.9862201   0.0160707   1.0025000   0.8122951  28.0552233
       14   0.9886856   0.0130542   1.0020000   0.8139344  28.0947940
       15   0.9906630   0.0106252   1.0015000   0.8147541  28.1264332
       16   0.9921490   0.0086570   1.0015000   0.8159836  28.1487806
       17   0.9936372   0.0070639   1.0010000   0.8163934  28.1749437
