iteration  area_1  area_2  ratio_1  ratio_2  total_weight
        0   1.0000000   1.0000000   0.7070000   0.3090672  38.2842713
        1   0.7070000   0.3090672   1.1440000   0.6522388  23.0876514
        2   0.8088080   0.2015856   1.0750000   0.6820896  24.8924008
        3   0.8694686   0.1374994   1.0450000   0.7014925  25.9672800
        4   0.9085947   0.0964548   1.0285000   0.7141791  26.6634868
        5   0.9344896   0.0688860   1.0195000   0.7231343  27.1202185
        6   0.9527122   0.0498138   1.0135000   0.7291045  27.4449082
        7   0.9655738   0.0363195   1.0095000   0.7335821  27.6737461
        8   0.9747467   0.0266433   1.0065000   0.7369403  27.8364347
        9   0.9810826   0.0196345   1.0050000   0.7395522  27.9455519
       10   0.9859880   0.0145208   1.0035000   0.7414179  28.0331602
       11   0.9894390   0.0107660   1.0030000   0.7425373  28.0932199
       12   0.9924073   0.0079941   1.0020000   0.7432836  28.1494582
       13   0.9943921   0.0059419   1.0015000   0.7440299  28.1850750
       14   0.9958837   0.0044210   1.0010000   0.7444030  28.2120540
