iteration  area_1  area_2  ratio_1  ratio_2  total_weight
        0   1.0000000   1.0000000   0.7070000   0.2836644  38.2842713
        1   0.7070000   0.2836644   1.1580000   0.6181507  22.8336236
        2   0.8187060   0.1753473   1.0795000   0.6421233  24.9099759
        3   0.8837931   0.1125946   1.0450000   0.6565068  26.1233906
        4   0.9235638   0.0739191   1.0275000   0.6660959  26.8615208
        5   0.9489618   0.0492372   1.0175000   0.6722603  27.3330658
        6   0.9655687   0.0331002   1.0115000   0.6763699  27.6414080
        7   0.9766727   0.0223880   1.0075000   0.6791096  27.8483553
        8   0.9839977   0.0152039   1.0050000   0.6811644  27.9836980
        9   0.9889177   0.0103564   1.0035000   0.6825342  28.0743808
       10   0.9923789   0.0070686   1.0025000   0.6832192  28.1394008
       11   0.9948599   0.0048294   1.0015000   0.6835616  28.1871807
       12   0.9963522   0.0033012   1.0010000   0.6842466  28.2141070
