iteration  area_1  area_2  ratio_1  ratio_2  total_weight
        0   1.0000000   1.0000000   0.7070000   0.6275000  38.2842713
        1   0.7070000   0.6275000   1.0205000   0.9500000  26.2719798
        2   0.7214935   0.5961250   1.0125000   0.9681818  26.3681679
        3   0.7305122   0.5771574   1.0075000   0.9795455  26.4335782
        4   0.7359910   0.5653519   1.0050000   0.9863636  26.4704883
        5   0.7396710   0.5576426   1.0030000   0.9909091  26.4974798
        6   0.7418900   0.5525731   1.0020000   0.9946970  26.5095481
        7   0.7433738   0.5496428   1.0015000   0.9962121  26.5222127
        8   0.7444888   0.5475608   1.0005000   0.9977273  26.5329315
