iteration  area_1  area_2  ratio_1  ratio_2  total_weight
        0   1.0000000   1.0000000   0.7070000   0.3185769  38.2842713
        1   0.7070000   0.3185769   1.1390000   0.6646154  23.1827490
        2   0.8052730   0.2117311   1.0735000   0.6961538  24.8938712
        3   0.8644606   0.1473974   1.0445000   0.7169231  25.9246115
        4   0.9029291   0.1056726   1.0285000   0.7307692  26.5954167
        5   0.9286625   0.0772223   1.0200000   0.7411538  27.0387661
        6   0.9472358   0.0572336   1.0140000   0.7480769  27.3642100
        7   0.9604971   0.0428151   1.0100000   0.7530769  27.5951116
        8   0.9701021   0.0322431   1.0075000   0.7573077  27.7610607
        9   0.9773778   0.0244179   1.0055000   0.7600000  27.8885989
       10   0.9827534   0.0185576   1.0040000   0.7623077  27.9820402
       11   0.9866844   0.0141466   1.0035000   0.7638462  28.0491160
       12   0.9901378   0.0108058   1.0020000   0.7650000  28.1133849
       13   0.9921181   0.0082665   1.0020000   0.7661538  28.1440018
       14   0.9941023   0.0063334   1.0015000   0.7669231  28.1807937
       15   0.9955935   0.0048572   1.0010000   0.7673077  28.2082082
