iteration  area_1  area_2  ratio_1  ratio_2  total_weight
        0   1.0000000   1.0000000   0.7070000   0.4706250  38.2842713
        1   0.7070000   0.4706250   1.0715000   0.8278409  24.7032298
        2   0.7575505   0.3896026   1.0420000   0.8681818  25.3227901
        3   0.7893676   0.3382459   1.0275000   0.8960227  25.7091471
        4   0.8110752   0.3030760   1.0195000   0.9164773  25.9714321
        5   0.8268912   0.2777623   1.0145000   0.9312500  26.1656378
        6   0.8388811   0.2586661   1.0110000   0.9431818  26.3138025
        7   0.8481088   0.2439692   1.0085000   0.9522727  26.4278316
        8   0.8553177   0.2323252   1.0070000   0.9596591  26.5152910
        9   0.8613050   0.2229530   1.0055000   0.9659091  26.5909131
       10   0.8660421   0.2153523   1.0045000   0.9704545  26.6488940
       11   0.8699393   0.2089896   1.0035000   0.9750000  26.6954964
       12   0.8729841   0.2037649   1.0030000   0.9784091  26.7293686
       13   0.8756031   0.1993654   1.0030000   0.9818182  26.7594490
       14   0.8782299   0.1957406   1.0020000   0.9835227  26.7974982
       15   0.8799863   0.1925153   1.0020000   0.9857955  26.8149256
       16   0.8817463   0.1897807   1.0015000   0.9880682  26.8373592
       17   0.8830689   0.1875163   1.0015000   0.9897727  26.8521243
       18   0.8843935   0.1855985   1.0010000   0.9909091  26.8704119
