iteration  area_1  area_2  ratio_1  ratio_2  total_weight
        0   1.0000000   1.0000000   0.7070000   0.3451250  38.2842713
        1   0.7070000   0.3451250   1.1255000   0.6970833  23.4482298
        2   0.7957285   0.2405809   1.0685000   0.7333333  24.9124096
        3   0.8502359   0.1764260   1.0425000   0.7575000  25.8125627
        4   0.8863709   0.1336427   1.0290000   0.7750000  26.4067825
        5   0.9120757   0.1035731   1.0205000   0.7870833  26.8331268
        6   0.9307732   0.0815206   1.0150000   0.7966667  27.1414491
        7   0.9447348   0.0649448   1.0115000   0.8037500  27.3705841
        8   0.9555993   0.0521994   1.0090000   0.8095833  27.5504230
        9   0.9641997   0.0422597   1.0065000   0.8137500  27.6942826
       10   0.9704670   0.0343889   1.0055000   0.8175000  27.7928398
       11   0.9758045   0.0281129   1.0045000   0.8204167  27.8810493
       12   0.9801957   0.0230643   1.0035000   0.8225000  27.9547629
       13   0.9836264   0.0189704   1.0030000   0.8245833  28.0108582
       14   0.9865772   0.0156427   1.0025000   0.8258333  28.0610445
       15   0.9890437   0.0129182   1.0020000   0.8270833  28.1035617
       16   0.9910218   0.0106844   1.0015000   0.8283333  28.1371727
       17   0.9925083   0.0088503   1.0010000   0.8291667  28.1608766
