iteration  area_1  area_2  ratio_1  ratio_2  total_weight
        0   1.0000000   1.0000000   0.7070000   0.5176875  38.2842713
        1   0.7070000   0.5176875   1.0545000   0.8687500  25.1738548
        2   0.7455315   0.4497410   1.0325000   0.9043750  25.5842253
        3   0.7697613   0.4067345   1.0210000   0.9293750  25.8394820
        4   0.7859263   0.3780089   1.0145000   0.9462500  26.0094406
        5   0.7973222   0.3576909   1.0105000   0.9587500  26.1285864
        6   0.8056941   0.3429362   1.0080000   0.9681250  26.2178315
        7   0.8121396   0.3320051   1.0055000   0.9750000  26.2908283
        8   0.8166064   0.3237050   1.0045000   0.9806250  26.3341663
        9   0.8202811   0.3174332   1.0035000   0.9850000  26.3753855
       10   0.8231521   0.3126717   1.0025000   0.9875000  26.4089742
       11   0.8252100   0.3087633   1.0020000   0.9906250  26.4280959
       12   0.8268604   0.3058686   1.0015000   0.9925000  26.4458303
       13   0.8281007   0.3035746   1.0015000   0.9937500  26.4579709
       14   0.8293428   0.3016773   1.0010000   0.9950000  26.4741308
