iteration  area_1  area_2  ratio_1  ratio_2  total_weight
        0   1.0000000   1.0000000   0.7070000   0.2916549  38.2842713
        1   0.7070000   0.2916549   1.1535000   0.6288732  22.9135291
        2   0.8155245   0.1834140   1.0780000   0.6549296  24.9006559
        3   0.8791354   0.1201232   1.0450000   0.6711268  26.0669368
        4   0.9186965   0.0806179   1.0285000   0.6816901  26.7908403
        5   0.9448794   0.0549564   1.0180000   0.6887324  27.2747883
        6   0.9618872   0.0378503   1.0120000   0.6933099  27.5847808
        7   0.9734298   0.0262420   1.0085000   0.6968310  27.7951730
        8   0.9817040   0.0182862   1.0055000   0.6989437  27.9496439
        9   0.9871034   0.0127810   1.0040000   0.7003521  28.0473094
       10   0.9910518   0.0089512   1.0025000   0.7014085  28.1206892
       11   0.9935294   0.0062785   1.0020000   0.7024648  28.1640396
       12   0.9955165   0.0044104   1.0010000   0.7028169  28.2015614
