iteration  area_1  area_2  ratio_1  ratio_2  total_weight
        0   1.0000000   1.0000000   0.7070000   0.4405851  38.2842713
        1   0.7070000   0.4405851   1.0830000   0.7994681  24.4028309
        2   0.7656810   0.3522337   1.0485000   0.8414894  25.1790664
        3   0.8028165   0.2964009   1.0320000   0.8702128  25.6710898
        4   0.8285067   0.2579319   1.0225000   0.8914894  26.0130258
        5   0.8471481   0.2299435   1.0165000   0.9074468  26.2604007
        6   0.8611260   0.2086615   1.0130000   0.9202128  26.4429365
        7   0.8723206   0.1920130   1.0100000   0.9297872  26.5930835
        8   0.8810438   0.1785312   1.0085000   0.9382979  26.7049954
        9   0.8885327   0.1675155   1.0070000   0.9452128  26.8066551
       10   0.8947524   0.1583378   1.0055000   0.9510638  26.8907985
       11   0.8996736   0.1505893   1.0050000   0.9558511  26.9525049
       12   0.9041720   0.1439410   1.0040000   0.9601064  27.0132544
       13   0.9077886   0.1381986   1.0040000   0.9643617  27.0581265
       14   0.9114198   0.1332735   1.0030000   0.9670213  27.1115794
       15   0.9141541   0.1288783   1.0030000   0.9702128  27.1449640
       16   0.9168965   0.1250394   1.0025000   0.9723404  27.1841433
       17   0.9191888   0.1215808   1.0020000   0.9750000  27.2143923
       18   0.9210271   0.1185413   1.0020000   0.9771277  27.2359943
       19   0.9228692   0.1158300   1.0020000   0.9787234  27.2609823
       20   0.9247149   0.1133655   1.0015000   0.9803191  27.2885430
       21   0.9261020   0.1111344   1.0015000   0.9819149  27.3054640
       22   0.9274912   0.1091245   1.0010000   0.9829787  27.3246564
